FECHA,CODIGO_EMPRESA,CEDULA_ANONIMIZADA,UBICACION_ANONIMIZADA,CODIGO_LOCALIDAD,ID_ESTADO_CIVIL,ID_GENERO,FECHA_NACIMIENTO,EDAD,FECHA_INGRESO,FECHA_INICIO_CONTRATO,ID_CARGO,TIPO_CARGO,NIVEL_CARGO,CATEGORIA_CARGO,TIPO_AREA,ID_CENTRO_COSTO,TIPO_NOMINA,SUBSIDIO_TRANSPORTE,COMPENSACION_VARIABLE,PORCENT_COMP_VARIABLE,SALARIO,TOTAL_SALARIO,INDICADOR_VARIACION_SALARIO,VARIACION_SALARIO,SENAL_SINDICALIZADO,FECHA_FIN_CONTRATO,CAUSA_NOMBRE,TIPO_RETIRO,NUM_DIAS_LABORADOS,NUM_DIAS_CONTRATADOS,RETIRO
2018-04-30,21,961,5,1502,CASADO,F,1987-09-12,34,2016-09-12,2016-09-12,84133,ESTRATEGICO,2,18,ADMINISTRATIVO,310109,INTEGRAL,1,0,0,11781000,11781000,1,231000,0,2018-05-01,RENUNCIA,NO_DESEADO,596,596,1
2018-04-30,21,990,5,1502,SOLTERO,F,1988-10-20,33,2015-12-11,2015-12-11,84342,ESTRATEGICO,4,15,ADMINISTRATIVO,310210,TERMINO_INDEFINIDO,1,0,0,4896000,4896000,1,96000,0,2018-05-01,RENUNCIA,NO_DESEADO,872,872,1
2018-04-30,21,1083,6,1503,UNION_LIBRE,M,1996-01-14,25,2018-02-01,2018-02-01,84424,OPERATIVO,6,9,OPERATIVO,210144,TERMINO_FIJO,1,0,0,1051300,1051300,0,0,0,2018-05-01,RENUNCIA,NO_DESEADO,89,89,1
2018-05-31,21,1339,2,1500,CASADO,M,1956-02-14,65,1978-07-25,1978-07-25,83812,OPERATIVO,5,11,ADMINISTRATIVO,250168,TERMINO_INDEFINIDO,1,0,0,1924500,1924500,1,88800,0,2018-06-01,PENSIONADO,NO_APLICA,14556,14556,1
2018-05-31,21,1112,2,1500,CASADO,M,1955-11-24,65,1979-05-04,1979-05-04,83853,OPERATIVO,5,11,ADMINISTRATIVO,150152,TERMINO_INDEFINIDO,1,0,0,2057100,2057100,1,95000,0,2018-06-01,PENSIONADO,NO_APLICA,14273,14273,1
2018-05-31,21,1292,6,1503,SOLTERO,F,1984-09-13,37,2018-01-22,2018-01-22,84424,OPERATIVO,6,9,OPERATIVO,210144,TERMINO_FIJO,1,0,0,1051300,1051300,0,0,0,2018-06-01,DESPIDO,DESEADO,130,130,1
2018-05-31,21,1505,7,1504,SOLTERO,F,1985-03-19,36,2014-08-19,2014-08-19,83927,ESTRATEGICO,4,15,ADMINISTRATIVO,110202,TERMINO_INDEFINIDO,1,0,0,5889000,5889000,1,115500,0,2018-06-01,RENUNCIA,NO_DESEADO,1382,1382,1
2018-05-31,21,1522,2,1500,SOLTERO,F,1984-08-08,37,2016-04-18,2016-04-18,83942,ESTRATEGICO,4,14,COMERCIAL,320310,TERMINO_INDEFINIDO,1,809680,20,3238720,4048400,1,79400,0,2018-06-01,RENUNCIA,DESEADO,774,774,1
2018-05-31,21,1683,2,1500,CASADO,M,1969-07-01,52,1992-09-15,1992-09-15,83852,ESTRATEGICO,4,14,COMERCIAL,320363,TERMINO_INDEFINIDO,1,1379600,40,2069400,3449000,1,67600,0,2018-06-01,DESPIDO,DESEADO,9390,9390,1
2018-05-31,21,1723,7,1504,CASADO,M,1967-08-27,54,2018-03-16,2018-03-16,83799,OPERATIVO,6,9,ADMINISTRATIVO,220144,TERMINO_FIJO,1,0,0,1051300,1051300,0,0,0,2018-06-01,RENUNCIA,NO_DESEADO,77,77,1
